Field=#~Integer~#~50|Field=Comment~String~Comment~100|Field=Description~String~Description~100|Field=Designator~String~Designator~100|Field=Footprint~String~Footprint~100|Field=LibRef~String~LibRef~100|Field=Quantity~Integer~Quantity~100|ReportField=Currency~<none>|ReportField=ProductionQuantity~1|ReportField=ProjectFileName~DT JFET Preamp.PrjPcb|ReportField=ProjectFullPath~C:\Users\Adam\Documents\GitHub\AudioExperiments\Designs\DT JFET Preamp\DT JFET Preamp.PrjPcb|ReportField=Title~Bill of Materials For Project [DT JFET Preamp.PrjPcb] (No PCB Document Selected)|ReportField=TotalQuantity~12|ReportField=ReportTime~3:06:41 PM|ReportField=ReportDate~5/12/2016|ReportField=ReportDateTime~5/12/2016 3:06:41 PM|ReportField=OutputName~Bill of Materials|ReportField=OutputType~BOM_PartType|ReportField=GeneratorName~BOM|ReportField=GeneratorDescription~Bill of Materials|ReportField=VariantName~None|ReportField=Address1~|ReportField=Address2~|ReportField=Address3~|ReportField=Address4~|ReportField=Application_BuildNumber~|ReportField=ApprovedBy~|ReportField=Author~|ReportField=CheckedBy~|ReportField=CompanyName~|ReportField=CurrentDate~5/12/2016|ReportField=CurrentTime~3:06:40 PM|ReportField=Date~|ReportField=DocumentFullPathAndName~C:\Users\Adam\Documents\GitHub\AudioExperiments\Designs\DT JFET Preamp\DT JFET Pre.SchDoc|ReportField=DocumentName~DT JFET Pre.SchDoc|ReportField=DocumentNumber~|ReportField=DrawnBy~|ReportField=Engineer~|ReportField=ImagePath~|ReportField=ModifiedDate~5/11/2016|ReportField=Organization~|ReportField=ProjectName~DT JFET Preamp.PrjPcb|ReportField=Revision~|ReportField=Rule~|ReportField=SheetNumber~|ReportField=SheetTotal~|ReportField=Time~|ReportField=Title~|ReportField=DataSourceFileName~DT JFET Preamp.PrjPcb|ReportField=DataSourceFullPath~C:\Users\Adam\Documents\GitHub\AudioExperiments\Designs\DT JFET Preamp\DT JFET Preamp.PrjPcb
1|4.7uF|CAP ALUM 4.7UF 20% 35V RADIAL|C1|4X6mmCAP|UMW1V4R7MDD1TP|1
2|10uF|CAP ALUM 10UF 20% 16V RADIAL|C2, C3|4X6mmCAP|UMW1C100MDD1TP|2
3|Header 2|Header, 2-Pin|P1, P2, P3, P4|HDR1X2|Header 2|4
4|2N5457|JFET N-CH 25V 0.31W TO-92|Q1|TO-92A|2N5457|1
5|6.8K|RES SMD 6.8K OHM 1% 1/8W 0805|R1|R0805|RC2012F682CS|1
6|3M|RES SMD 3M OHM 1% 1/8W 0805|R2|R0805|RC2012F305CS|1
7|2.2K|RES SMD 2.2K OHM 1% 1/8W 0805|R3|R0805|RC2012F222CS|1
8|51K|RES SMD 51K OHM 1% 1/8W 0805|R4|R0805|RC2012F513CS|1
